"エネミーID","エネミー名","画像ID","登場ステージID","並び順","ボスフラグ","AI難易度","AI性格","チップレベル","チップID","チップ名","ブレードID","ウェイトID","ソールID","必要勝利数","キャラクター感","メモ"
"e001","イチカ","イチカ","st001","1","0","1","回避","1","c002","ミラージュ・ペガサス","b101_a","w101_w","s101_a","3","【一人称：私】【二人称：きみ】【語尾：〜だよ！/〜かな？/〜行っくよー！】明るく元気でハキハキとした快活な幼馴染口調。","近所の活発な女の子。風・水回避アセンブル"
"e002","ハルト","ハルト","st001","2","0","1","攻撃","1","c009","ブラスト・ワイバーン","b102_f","w102_e","s102_f","3","【一人称：俺】【二人称：お前】【語尾：〜だぜ！/〜しようぜ！/〜だ！】直球で感情をストレートに出す熱血少年口調。","ガンガン攻める熱血少年。火・土攻撃アセンブル"
"e003","タイガ","タイガ","st001","3","0","1","防御","1","c005","グラナイト・ゴーレム","b103_e","w103_w","s103_e","3","【一人称：俺】【二人称：君】【語尾：〜だな/〜だ/〜行くぞ】言葉数が少なくどっしり落ち着いた静かな口調。","どっしり構える冷静な少年。土・水防御アセンブル"
"e004","ケンジ","ケンジ","st001","4","0","1","バランス","1","c007","ソニック・イーグル","b101_n","w101_n","s101_n","3","【一人称：僕】【二人称：お前】【語尾：〜かい？/〜だね/〜だよ】「フッ…」等の吐息を交えるすかしたクール同年代口調。","クールな同年代ブレーダー。バランスアセンブル"
"e005","カイト","カイト","st001","5","1","2","攻撃","2","c003","チェイン・ケルベロス","b104_f","w104_e","s104_n","3","【一人称：俺】【二人称：お前】【語尾：〜だろ！/〜じゃねえ！/〜なんだよ！】威勢が良く上から目線な街のイキリボス口調。","クラスメイトのライバル。クラス最強ストリートボス"
"e006","タクマ","タクマ","st002","1","0","2","攻撃","2","c004","アビス・クラーケン","b202_f","w202_a","s202_f","3","【一人称：俺】【二人称：あんた】【語尾：〜だぜ！/〜だなぁ！/〜だ！】笑い声（「ハハッ！」）を交える豪快なスピード狂口調。","突進力重視のスピードアタッカー"
"e007","シュン","シュン","st002","2","0","2","バランス","2","c011","ハンティング・フェンリル","b201_e","w201_w","s201_n","3","【一人称：僕】【二人称：あなた】【語尾：〜ですね/〜です/〜でしょう】数値を交えて淡々と語る丁寧なデータ派インテリ口調。","数値計算を得意とするインテリブレーダー"
"e008","ジュリ","ジュリ","st002","3","0","2","回避","2","c010","ルイン・デスサイズ","b206_a","w206_a","s206_a","3","【一人称：アタシ】【二人称：キミ】【語尾：〜だし！/〜じゃん？/〜っしょ！】短文構成でノリの軽いトレンドギャル口調。","雷属性特化ギャル。雷統一アセンブル"
"e009","コトネ","コトネ","st002","4","0","2","防御","2","c005","グラナイト・ゴーレム","b203_w","w203_n","s203_w","3","【一人称：ボク】【二人称：きみ】【語尾：〜だよ/〜かな？/〜でしょ？】おっとりマイペースで余裕のあるボクっ子口調。","どこか目を引くボクっ子。防御アセンブル"
"e010","レイナ","レイナ","st002","5","1","3","回避","3","c002","ミラージュ・ペガサス","b204_a","w204_f","s204_a","3","【一人称：私】【二人称：あなた】【語尾：〜ね/〜わ/〜かしら】冷静沈着で凛とした知的なお姉さん強豪口調（戸倉ミサキ風）。","地区予選のトップシード。強豪。イメージは戸倉ミサキ。"
